target_no,mgmt_no,rows,dt_start,dt_end,span_days,rt_min,rt_max,rt_span,rt_all_zero,voltage_active_rate,voltage_na_rate,active_rows_per_plug,plug_activity_imbalance_ratio,exchange_candidates_total,exchange_candidates_per_plug
5760,5760,119950,2018-03-27,2025-12-15,2819,143.95,78678.38333333333,78534.43333333333,False,0.7765568987077949,0.0,"34346,65314,6667,6525,54477,54477",0.09990201181982424,21441,"9,63,0,1,13235,8133"
9710,9710,91502,2018-03-27,2025-12-15,2819,5.416666666666667,67310.0,67304.58333333333,False,0.6391554282966493,0.0,"8711,46835,8712,8714,32136,32134",0.1859933810184691,3599,"0,0,0,0,3131,468"
5880,5880,98011,2018-03-27,2025-12-14,2819,0.0,61124.333333333336,61124.333333333336,False,0.8564446847802798,0.0,"21106,73104,17304,16948,48486,48486",0.23183409936528782,15687,"1,15,0,0,9422,6249"
5881,5881,98019,2018-03-27,2025-12-15,2819,0.0,60836.76666666667,60836.76666666667,False,0.8507636274599822,0.0,"68925,38735,17177,16903,47806,47796",0.24523757707653246,14502,"3,2,0,0,8379,6118"
9621,9621,96723,2018-03-27,2025-12-15,2819,20.25,58098.25,58078.0,False,0.730053865161337,0.0,"70613,70613,70613,70613,70613,70613",1.0,0,"0,0,0,0,0,0"
9620,9620,87954,2018-03-27,2025-12-15,2819,16.1,57123.6,57107.5,False,0.703197125770289,0.0,"61849,61849,61849,61849,61849,61849",1.0,0,"0,0,0,0,0,0"
9800,9800,86204,2018-03-27,2025-12-15,2819,14.85,55649.416666666664,55634.566666666666,False,0.554521831933553,0.0,"27159,11033,11133,11032,38546,38545",0.2862034971203238,16907,"0,0,0,0,9219,7688"
9630,9630,90414,2018-03-27,2025-12-15,2819,13.416666666666666,45663.73333333333,45650.316666666666,False,0.9926338841329883,0.0,"89434,27282,27299,29008,40769,40769",0.3050517700203502,1726,"30,1,2,1,1329,363"
8200,8200,88249,2018-03-28,2025-12-15,2818,17.916666666666668,44583.13333333333,44565.21666666667,False,0.9189679203163775,0.0,"81097,81097,81098,81098,81098,81097",0.9999876692396853,0,"0,0,0,0,0,0"
7580,7580,134946,2018-03-27,2025-12-15,2819,12983.45,54916.933333333334,41933.48333333334,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7581,7581,134994,2018-03-27,2025-12-15,2819,12979.466666666667,54867.1,41887.63333333333,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9590,9590,86110,2018-03-28,2025-12-15,2818,0.0,39992.9,39992.9,False,0.9952270351875508,0.0,"85695,43275,41795,41795,23198,41795",0.27070424178773556,4,"4,0,0,0,0,0"
7870,7870,135331,2018-03-27,2025-12-15,2819,4220.283333333334,43306.01666666667,39085.73333333334,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7230,7230,134995,2018-03-27,2025-12-15,2819,18842.116666666665,57333.0,38490.88333333333,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8721,8721,102390,2020-02-05,2025-12-15,2139,0.0,35915.26666666667,35915.26666666667,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
7860,7860,135027,2018-03-27,2025-12-15,2819,6642.066666666667,42539.85,35897.78333333333,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
8720,8720,102464,2020-02-05,2025-12-15,2139,0.0,35841.88333333333,35841.88333333333,False,0.0,0.0,"0,0,0,0,0,0",0.0,0,"0,0,0,0,0,0"
9600,9600,40202,2021-05-08,2025-12-15,1681,0.0,33798.11666666667,33798.11666666667,False,0.9973881896423064,0.0,"40097,40097,40097,40097,21897,40097",0.5461007057884629,5,"1,1,1,1,0,1"
